name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Northern Harrier,Grassland,Mammals,Ground,Soaring,Least Concern,46-50,50, 102-118,118,300-750,525.0,4-5,4,5, 1 , 1 ,4.1-5.3,5.3,3.2-4,4,28-36,36,28,14,14,14, ACCIPITRIFORMES, ACCIPITRIDAE
Rough-legged Hawk,Grassland,Mammals,Cliff,Aerial Dive,Least Concern,47-52,52, 132-138,138,715-1400,1057.5,1-7,1,7,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
White-tailed Hawk,Grassland,Mammals,Tree,Soaring,Least Concern,46-58,58, 132, 132,880-1235,1057.5,1-4,1,4,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Northern Goshawk,Forest,Birds,Tree,Aerial Dive,Least Concern,53-64,64, 103-117,117,631-1364,997.5,1-5,1,5,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Swainson's Hawk,Grassland,Mammals,Tree,Soaring,Least Concern,48-56,56,,,693-1367,1030.0,1-5,1,5, 1 , 1 ,5.1-6,6,4.2-4.7,4.7,34-35,35,34,17-22,17,22, ACCIPITRIFORMES, ACCIPITRIDAE
Gray Hawk,River/Stream,Small Animals,Tree,Soaring,Least Concern,,,,,,,1-4,1,4, 1 , 1 ,4.5-5.7,5.7,3.5-4.2,4.2,32-34,34,32,42,42,42, ACCIPITRIFORMES, ACCIPITRIDAE
Golden Eagle,Grassland,Mammals,Cliff,Soaring,Least Concern,70-84,84, 185-220,220,3000-6125,4562.5,1-3,1,3, 1 , 1 ,6.8-8.6,8.6,4.9-6.4,6.4,41-45,45,41,45-81,45,81, ACCIPITRIFORMES, ACCIPITRIDAE
Red-shouldered Hawk,Forest,Mammals,Tree,Soaring,Least Concern,43-61,61, 94-111,111,486-774,630.0,2-5,2,5, 1 , 1 ,5.24-5.65,5.65,4.2-4.4,4.4,32-40,40,32,42-49,42,49, ACCIPITRIFORMES, ACCIPITRIDAE
Ferruginous Hawk,Grassland,Mammals,Tree,Soaring,Least Concern,56-69,69, 133-142,142,977-2074,1525.5,1-8,1,8,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Swallow-tailed Kite,Forest,Insects,Tree,Flycatching,Least Concern,50-64,64, 122, 122,370-600,485.0,,,,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Broad-winged Hawk,Forest,Mammals,Tree,Aerial Dive,Least Concern,34-44,44, 81-100,100,265-560,412.5,1-5,1,5, 1 , 1 ,4.6-5.5,5.5,3.7-4.2,4.2,28-31,31,28,35-42,35,42, ACCIPITRIFORMES, ACCIPITRIDAE
Sharp-shinned Hawk,Forest,Birds,Tree,Aerial Dive,Least Concern,24-34,34, 43-56,56,87-218,152.5,3-8,3,8, 1 , 1 ,3.3-4.2,4.2,2.8-3.4,3.4,30-35,35,30,21-28,21,28, ACCIPITRIFORMES, ACCIPITRIDAE
Mississippi Kite,Open Woodland,Insects,Tree,Flycatching,Least Concern,34-37,37,,,214-388,301.0,1-3,1,3,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Snail Kite,Marsh,Insects,Tree,Soaring,Least Concern,36-40,40,,,360-570,465.0,,,,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Zone-tailed Hawk,Open Woodland,Birds,Tree,Soaring,Least Concern,45-56,56, 119-140,140,119-140,129.5,1-3,1,3,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Harris's Hawk,Scrub,Mammals,Tree,Soaring,Least Concern,46-59,59, 103-124,124,515-1630,1072.5,,,,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Bald Eagle,Forest,Fish,Tree,Soaring,Least Concern,71-96,96, 204, 204,3000-6300,4650.0,1-3,1,3, 1 , 1 ,5.8-8.4,8.4,4.7-6.3,6.3,34-36,36,34,56-98,56,98, ACCIPITRIFORMES, ACCIPITRIDAE
Plain Chachalaca,Forest,Fruit,Tree,Foliage Gleaner,Least Concern,55,55,,,300-685,492.5,2-4,2,4,,,,,,,,,,,,, GALLIFORMES, CRACIDAE
White-tailed Kite,Grassland,Mammals,Tree,Hovering,Least Concern,32-38,38,,,300-360,330.0,4,4,4, 1 , 1 ,3.8-4.5,4.5,3-3.3,3.3,30-32,32,30,38-35,38,35, ACCIPITRIFORMES, ACCIPITRIDAE
Greater Roadrunner,Scrub,Omnivore,Tree,Ground Forager,Least Concern,52-54,54, 49, 49,221-538,379.5,2-6,2,6, 1-2 ,2 ,3.5-4.6,4.6,2.8-3.3,3.3,19-20,20,19,,,, CUCULIFORMES, CUCULIDAE
Black-billed Cuckoo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,28-31,31, 34-40,40,40-65,52.5,2-5,2,5, 1-2 ,2 ,2.4-3.3,3.3,1.8-2.4,2.4,10-11,11,10,6-7,6,7, CUCULIFORMES, CUCULIDAE
Yellow-billed Cuckoo,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,26-30,30, 38-43,43,55-65,60.0,1-5,1,5, 1-2 ,2 ,2.7-3.6,3.6,2.1-2.5,2.5,9-11,11,9,8,8,8, CUCULIFORMES, CUCULIDAE
Groove-billed Ani,Scrub,Insects,Tree,Ground Forager,Least Concern,34,34,,,70-90,80.0,,,,,,,,,,,,,,,, CUCULIFORMES, CUCULIDAE
Mangrove Cuckoo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,28-32,32,,,65-70,67.5,1-4,1,4,,,,,,,,,,,,, CUCULIFORMES, CUCULIDAE
Smooth-billed Ani,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,30-36,36,,,71-119,95.0,3-36,3,36,,,,,,,,,,,,, CUCULIFORMES, CUCULIDAE
Black-footed Albatross,Ocean,Fish,Ground,Dabbler,Vulnerable,64-74,74, 193-216,216,2200-4300,3250.0,1,1,1,,,,,,,,,,,,, PROCELLARIIFORMES, DIOMEDEIDAE
Laysan Albatross,Ocean,Fish,Ground,Soaring,Near Threatened,,,,,,,1,1,1, 1 , 1 ,10.8,10.8,6.9,6.9,62-66,66,62,165,165,165, PROCELLARIIFORMES, DIOMEDEIDAE
Nelson's Sparrow,Marsh,Insects,Ground,Ground Forager,Least Concern,11-13,13, 20, 20,19-21,20.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Dark-eyed Junco,Forest,Seeds,Ground,Ground Forager,Least Concern,14-16,16, 18-25,25,18-30,24.0,3-6,3,6, 1-3 ,3 ,1.9-2.1,2.1,1.5-1.6,1.6,12-13,13,12,10-13,10,13, PASSERIFORMES, EMBERIZIDAE
White-throated Sparrow,Forest,Seeds,Ground,Ground Forager,Least Concern,16-18,18, 20-23,23,22-32,27.0,1-6,1,6, 1-2 ,2 ,1.9-2.3,2.3,1.4-1.7,1.7,11-14,14,11,7-12,7,12, PASSERIFORMES, EMBERIZIDAE
Bell's Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,12-15,15,,,15-22,18.5,1-4,1,4, 1-3 ,3 ,1.8-2,2,1.4-1.5,1.5,10-16,16,10,9-10,9,10, PASSERIFORMES, EMBERIZIDAE
Golden-crowned Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,15-18,18,,,30-33,31.5,3-5,3,5, 1-2 ,2 ,2-2.5,2.5,1.5-1.8,1.8,11-13,13,11,9-11,9,11, PASSERIFORMES, EMBERIZIDAE
Botteri's Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,15-17,17, 22, 22,17-26,21.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Fox Sparrow,Forest,Insects,Ground,Ground Forager,Least Concern,,,,,,,2-5,2,5, 1 , 1 ,2.1-2.4,2.4,1.6-1.8,1.8,12-14,14,12,9-11,9,11, PASSERIFORMES, EMBERIZIDAE
Canyon Towhee,Scrub,Seeds,Shrub,Ground Forager,Least Concern,,,,,,,2-6,2,6, 1-3 ,3 ,2.1-2.7,2.7,1.5-2,2,,,,,,, PASSERIFORMES, EMBERIZIDAE
California Towhee,Scrub,Seeds,Shrub,Ground Forager,Least Concern,21-25,25, 29, 29,37-67,52.0,2-5,2,5, 1-3 ,3 ,2.2-2.5,2.5,1.6-1.9,1.9,11-14,14,11,6-11,6,11, PASSERIFORMES, EMBERIZIDAE
Savannah Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,11-15,15, 20-22,22,15-28,21.5,2-6,2,6, 1-4 ,4 ,1.5-2.2,2.2,1.4-1.6,1.6,12-13,13,12,8-13,8,13, PASSERIFORMES, EMBERIZIDAE
Field Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,12-15,15, 20, 20,11-15,13.0,1-5,1,5, 1-5 ,5 ,1.5-2.1,2.1,1.1-1.5,1.5,10-17,17,10,5-8,5,8, PASSERIFORMES, EMBERIZIDAE
Clay-colored Sparrow,Scrub,Seeds,Shrub,Foliage Gleaner,Least Concern,,,,,,,4,4,4, 1-2 ,2 ,1.7,1.7,1.3,1.3,10-14,14,10,7-9,7,9, PASSERIFORMES, EMBERIZIDAE
Rufous-winged Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,13-14,14, 21, 21,13-17,15.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
White-crowned Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,15-16,16, 21-24,24,25-28,26.5,3-7,3,7, 1-3 ,3 ,1.9-2.4,2.4,1.4-1.8,1.8,10-14,14,10,8-10,8,10, PASSERIFORMES, EMBERIZIDAE
Brewer's Sparrow,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,,,,,,,2-5,2,5, 1-2 ,2 ,1.6-1.7,1.7,1.2-1.3,1.3,10-12,12,10,6-9,6,9, PASSERIFORMES, EMBERIZIDAE
Le Conte's Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,12,12, 18, 18,12-16,14.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Black-throated Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,12-14,14,,,11-15,13.0,,,,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Henslow's Sparrow,Grassland,Insects,Ground,Ground Forager,Near Threatened,11-13,13, 20, 20,10-15,12.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Lincoln's Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,13-15,15,,,17-19,18.0,3-5,3,5, 1-2 ,2 ,1.8-2.2,2.2,1.3-1.6,1.6,10-13,13,10,10-11,10,11, PASSERIFORMES, EMBERIZIDAE
Cassin's Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,13-15,15, 20, 20,17-18,17.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Abert's Towhee,Deserts,Insects,Tree,Ground Forager,Least Concern,21-23,23, 28, 28,40-54,47.0,1-4,1,4,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Chipping Sparrow,Open Woodland,Seeds,Shrub,Ground Forager,Least Concern,12-15,15, 21, 21,11-16,13.5,2-7,2,7, 1-3 ,3 ,1.5-2,2,1.1-1.5,1.5,10-15,15,10,9-12,9,12, PASSERIFORMES, EMBERIZIDAE
Rufous-crowned Sparrow,Scrub,Seeds,Ground,Ground Forager,Least Concern,15-16,16, 21, 21,16-21,18.5,2-5,2,5, 1-2 ,2 ,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Seaside Sparrow,Marsh,Insects,Shrub,Ground Forager,Least Concern,13-15,15, 18-20,20,19-29,24.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Swamp Sparrow,Marsh,Insects,Shrub,Ground Forager,Least Concern,12-14,14, 18-19,19,11-24,17.5,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
American Tree Sparrow,Open Woodland,Seeds,Ground,Ground Forager,Least Concern,14,14, 24, 24,13-28,20.5,4-6,4,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Lark Bunting,Grassland,Insects,Ground,Ground Forager,Least Concern,14-18,18, 28, 28,30-51,40.5,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Harris's Sparrow,Forest,Seeds,Ground,Ground Forager,Least Concern,17-20,20, 27, 27,26-49,37.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Baird's Sparrow,Grassland,Seeds,Ground,Ground Forager,Least Concern,12,12, 23, 23,17-21,19.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Saltmarsh Sparrow,Marsh,Insects,Ground,Ground Forager,Vulnerable,11-13,13,,,14-19,16.5,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Green-tailed Towhee,Scrub,Seeds,Shrub,Ground Forager,Least Concern,,,,,,,2-5,2,5, 1-2 ,2 ,1.8-2.6,2.6,1.5-1.8,1.8,11-13,13,11,11-14,11,14, PASSERIFORMES, EMBERIZIDAE
Eastern Towhee,Scrub,Omnivore,Ground,Ground Forager,Least Concern,17.3-20.8,20.8, 20-28,28,32-52 ,42.0,2-6,2,6, 1-3 ,3 ,2-2.6,2.6,1.7-1.9,1.9,12-13,13,12,10-12,10,12, PASSERIFORMES, EMBERIZIDAE
Sagebrush Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,12-15,15,,,15-22,18.5,1-4,1,4, 1-3 ,3 ,1.8-2,2,1.4-1.5,1.5,10-16,16,10,9-10,9,10, PASSERIFORMES, EMBERIZIDAE
Lark Sparrow,Grassland,Seeds,Ground,Ground Forager,Least Concern,15-17,17, 28, 28,24-33,28.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Grasshopper Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,11-12,12,,,14-20,17.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Vesper Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,13-16,16, 24, 24,20-28,24.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Spotted Towhee,Scrub,Omnivore,Ground,Ground Forager,Least Concern,17-21,21, 28, 28,33-49,41.0,2-6,2,6, 1-3 ,3 ,2-2.6,2.6,1.7-1.9,1.9,12-13,13,12,10-12,10,12, PASSERIFORMES, EMBERIZIDAE
Song Sparrow,Open Woodland,Insects,Shrub,Ground Forager,Least Concern,12-17,17, 18-24,24,12-53,32.5,1-6,1,6, 1-7 ,7 ,1.7-2.3,2.3,1.4-1.7,1.7,12-15,15,12,9-12,9,12, PASSERIFORMES, EMBERIZIDAE
Reddish Egret,Marsh,Fish,Tree,Stalking,Near Threatened,70-80,80,,,700-850,775.0,,,,,,,,,,,,,,,, PELECANIFORMES, ARDEIDAE
American Bittern,Marsh,Fish,Ground,Stalking,Least Concern,60-85,85, 92, 92,370-500,435.0,1-5,1,5,,,3.7,3.7,,,24-28,28,24,7-14,7,14, PELECANIFORMES, ARDEIDAE
Yellow-crowned Night-Heron,Marsh,Insects,Tree,Stalking,Least Concern,55-70,70,,,650-800,725.0,2-6,2,6, 1 , 1 ,5.1-5.7,5.7,3.6-4.6,4.6,24-25,25,24,25-35,25,35, PELECANIFORMES, ARDEIDAE
Green Heron,Marsh,Fish,Tree,Stalking,Least Concern,41-46,46, 64-68,68,240,240,3-5,3,5, 1-2 ,2 ,3.4-4.3,4.3,2.7-3.5,3.5,19-21,21,19,16-17,16,17, PELECANIFORMES, ARDEIDAE
Tricolored Heron,Marsh,Fish,Tree,Stalking,Least Concern,60-70,70, 95, 95,415,415,,,,,,,,,,,,,,,, PELECANIFORMES, ARDEIDAE
Least Bittern,Marsh,Fish,Ground,Stalking,Least Concern,28-36,36, 41-46,46,51-102,76.5,2-7,2,7,,,,,,,,,,,,, PELECANIFORMES, ARDEIDAE
Black-crowned Night-Heron,Marsh,Fish,Tree,Stalking,Least Concern,58-66,66, 115-118,118,727-1014,870.5,3-5,3,5, 1 , 1 ,5-5.6,5.6,3.6-3.9,3.9,24-26,26,24,29-34,29,34, PELECANIFORMES, ARDEIDAE
Snowy Egret,Marsh,Fish,Tree,Stalking,Least Concern,56-66,66, 100, 100,370,370,2-6,2,6, 1 , 1 ,4.1-4.4,4.4,2.3-3.3,3.3,24-25,25,24,20-24,20,24, PELECANIFORMES, ARDEIDAE
Cattle Egret,Marsh,Insects,Tree,Ground Forager,Least Concern,46-56,56, 88-96,96,270-512,391.0,2-4,2,4, 1 , 1 ,3.5-5.2,5.2,2.8-3.6,3.6,22-28,28,22,14-21,14,21, PELECANIFORMES, ARDEIDAE
Great Egret,Marsh,Fish,Tree,Stalking,Least Concern,94-104,104, 131-145,145,1000,1000,1-6,1,6, 1-2 ,2 ,5.5-6,6,4-4.3,4.3,23-27,27,23,21-25,21,25, PELECANIFORMES, ARDEIDAE
Great Blue Heron,Marsh,Fish,Tree,Stalking,Least Concern,97-137,137, 167-201,201,2100-2500,2300.0,2-6,2,6, 1-2 ,2 ,6.1-7.6,7.6,4.5-5,5,27-29,29,27,49-81,49,81, PELECANIFORMES, ARDEIDAE
Little Blue Heron,Marsh,Fish,Tree,Stalking,Least Concern,56-74,74, 100-105,105,296-412,354.0,3-4,3,4, 1 , 1 ,4.1-5.1,5.1,3.1-3.6,3.6,22-23,23,22,35-49,35,49, PELECANIFORMES, ARDEIDAE
Anhinga,Marsh,Fish,Shrub,Surface Dive,Least Concern,75-95,95, 109, 109,1325-1350,1337.5,,,,,,,,,,,,,,,, SULIFORMES, ANHINGIDAE
Turkey Vulture,Open Woodland,Carrion,Cliff,Soaring,Least Concern,64-81,81, 170-178,178,2000,2000,1-3,1,3, 1 , 1 ,6.5-7.5,7.5,4.4-5.3,5.3,28-40,40,28,60-84,60,84, ACCIPITRIFORMES, CATHARTIDAE
California Condor,Mountains,Carrion,Cliff,Soaring,Critically Endangered,117-134,134, 277, 277,7000-9900,8450.0,1,1,1, 1 , 1 ,9.2-12,12,6.2-6.8,6.8,53-60,60,53,163-180,163,180, ACCIPITRIFORMES, CATHARTIDAE
Black Vulture,Open Woodland,Carrion,Cliff,Soaring,Least Concern,60-68,68, 137-150,150,1600-2200,1900.0,1-3,1,3, 1 , 1 ,6.6-9,9,4.5-5.6,5.6,38-39,39,38,70-98,70,98, ACCIPITRIFORMES, CATHARTIDAE
Northwestern Crow,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,,, 77, 77,,,3-6,3,6, 1 , 1 ,4,4,2.8-2.9,2.9,17-20,20,17,29-35,29,35, PASSERIFORMES, CORVIDAE
Fish Crow,Shore-line,Omnivore,Tree,Ground Forager,Least Concern,36-40,40, 84, 84,195-330,262.5,2-6,2,6, 1 , 1 ,3.3-4.2,4.2,2.5-3,3,16-19,19,16,32-40,32,40, PASSERIFORMES, CORVIDAE
Black-billed Magpie,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,45-60,60, 56-61,61,145-210,177.5,1-9,1,9, 1 , 1 ,3-3.7,3.7,2-2.5,2.5,16-19,19,16,24-30,24,30, PASSERIFORMES, CORVIDAE
Yellow-billed Magpie,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,43-54,54, 61, 61,150-170,160.0,4-7,4,7,,,,,,,,,,,,, PASSERIFORMES, CORVIDAE
Green Jay,Open Woodland,Omnivore,Tree,Foliage Gleaner,Least Concern,29,29,,,66-110,88.0,,,,,,,,,,,,,,,, PASSERIFORMES, CORVIDAE
Common Raven,Mountains,Omnivore,Cliff,Ground Forager,Least Concern,56-69,69, 116-118,118,689-1625,1157.0,3-7,3,7, 1 , 1 ,4.4-5.2,5.2,3.1-3.6,3.6,20-25,25,20,28-50,28,50, PASSERIFORMES, CORVIDAE
Steller's Jay,Forest,Omnivore,Tree,Ground Forager,Least Concern,30-34,34, 44, 44,100-140,120.0,2-6,2,6, 1 , 1 ,2.7-3.5,3.5,2-2.4,2.4,16,16,16,16,16,16, PASSERIFORMES, CORVIDAE
Gray Jay,Forest,Omnivore,Tree,Ground Forager,Least Concern,,,,,,,2-5,2,5, 1 , 1 ,2.5-3.4,3.4,1.8-2.4,2.4,18-19,19,18,22-24,22,24, PASSERIFORMES, CORVIDAE
Chihuahuan Raven,Scrub,Omnivore,Tree,Ground Forager,Least Concern,46-53,53, 104-110,110,380-670,525.0,1-8,1,8,,,,,,,,,,,,, PASSERIFORMES, CORVIDAE
Pinyon Jay,Open Woodland,Omnivore,Tree,Ground Forager,Vulnerable,26-29,29, 46, 46,90-120,105.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, CORVIDAE
Florida Scrub-Jay,Scrub,Omnivore,Tree,Ground Forager,Vulnerable,23-28,28, 33-36,36,66-92,79.0,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, CORVIDAE
Mexican Jay,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,29,29,,,120-135,127.5,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, CORVIDAE
Clark's Nutcracker,Forest,Omnivore,Tree,Foliage Gleaner,Least Concern,27-30,30,,,106-161,133.5,2-6,2,6, 1 , 1 ,2.9-3.7,3.7,2.2-2.5,2.5,18,18,18,20,20,20, PASSERIFORMES, CORVIDAE
Glossy Ibis,Marsh,Insects,Ground,Probing,Least Concern,48-66,66,,,500-800,650.0,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
Roseate Spoonbill,Marsh,Fish,Tree,Probing,Least Concern,71-86,86, 120-130,130,1200-1800,1500.0,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
White Ibis,Marsh,Insects,Tree,Probing,Least Concern,56-68,68,,,750-1050,900.0,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
White-faced Ibis,Marsh,Insects,Ground,Probing,Least Concern,46-56,56,,,450-525,487.5,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
Sandhill Crane,Marsh,Omnivore,Ground,Probing,Least Concern,120,120, 200, 200,3400-4900,4150.0,1-3,1,3, 1 , 1 ,9.3,9.3,5.9,5.9,29-32,32,29,,,, GRUIFORMES, GRUIDAE
Pine Grosbeak,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,20-25,25, 33, 33,,,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Lawrence's Goldfinch,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,10-12,12, 21, 21,9-14,11.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Whooping Crane,Marsh,Omnivore,Ground,Probing,Endangered,150,150, 229, 229,6000-7800,6900.0,1-3,1,3,,,,,,,,,,,,, GRUIFORMES, GRUIDAE
Brown-capped Rosy-Finch,Mountains,Seeds,Ground,Ground Forager,Least Concern,14-16,16, 33, 33,23-33,28.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Purple Finch,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,12-16,16, 22-26,26,18-32,25.0,2-7,2,7, 1-2 ,2 ,1.8-2.3,2.3,1.3-1.6,1.6,12-13,13,12,13-16,13,16, PASSERIFORMES, FRINGILLIDAE
Common Redpoll,Open Woodland,Seeds,Shrub,Foliage Gleaner,Least Concern,12-14,14, 19-22,22,11-20,15.5,2-7,2,7, 1-3 ,3 ,1.4-2,2,1.1-1.4,1.4,11,11,11,9-16,9,16, PASSERIFORMES, FRINGILLIDAE
White-winged Crossbill,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,15-17,17, 26-27,27,24-26,25.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
House Finch,Town,Seeds,Tree,Ground Forager,Least Concern,13-14,14, 20-25,25,16-27,21.5,2-6,2,6, 1-6 ,6 ,1.6-2.1,2.1,1.3-1.5,1.5,13-14,14,13,12-19,12,19, PASSERIFORMES, FRINGILLIDAE
Cassin's Finch,Forest,Seeds,Tree,Ground Forager,Near Threatened,16,16, 25-27,27,24-34,29.0,3-6,3,6, 1-2 ,2 ,1.8-2.4,2.4,1.3-1.6,1.6,12,12,12,,,, PASSERIFORMES, FRINGILLIDAE
Pine Siskin,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,11-14,14, 18-22,22,12-18,15.0,3-5,3,5, 1-2 ,2 ,1.5-1.9,1.9,1.1-1.4,1.4,13,13,13,13-17,13,17, PASSERIFORMES, FRINGILLIDAE
Gray-crowned Rosy-Finch,Mountains,Seeds,Cliff,Ground Forager,Least Concern,14-21,21, 33, 33,22-60,41.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Red Crossbill,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,,,,,,,,,,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Hoary Redpoll,Scrub,Seeds,Shrub,Foliage Gleaner,Least Concern,12-14,14,,,11-20,15.5,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Evening Grosbeak,Forest,Seeds,Tree,Ground Forager,Least Concern,16-18,18, 30-36,36,53-74,63.5,2-5,2,5, 1-2 ,2 ,2-2.6,2.6,1.4-1.8,1.8,12-14,14,12,13-14,13,14, PASSERIFORMES, FRINGILLIDAE
Black Rosy-Finch,Mountains,Seeds,Ground,Ground Forager,Least Concern,14-16,16, 33, 33,22-32,27.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Lesser Goldfinch,Open Woodland,Seeds,Tree,Foliage Gleaner,Least Concern,,,,,,,3-6,3,6, 1 , 1 ,1.5-1.6,1.6,1.1-1.3,1.3,12-13,13,12,12-14,12,14, PASSERIFORMES, FRINGILLIDAE
Red-throated Loon,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,53-69,69, 100-120,120,1000-2700,1850.0,1-3,1,3,,,,,,,,,,,,, GAVIIFORMES, GAVIIDAE
Pacific Loon,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,58-74,74, 110-128,128,1000-2500,1750.0,1-2,1,2,,,,,,,,,,,,, GAVIIFORMES, GAVIIDAE
Arctic Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,11-13,13,,,10,10,5-7,5,7,,,,,,,,,,,,, PASSERIFORMES, PHYLLOSCOPIDAE
American White Pelican,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,127-165,165, 244-290,290,4500-9000,6750.0,2,2,2, 1 , 1 ,8.3-9.5,9.5,5.2-5.5,5.5,30,30,30,63-70,63,70, PELECANIFORMES, PELECANIDAE
Brown Pelican,Ocean,Fish,Tree,Aerial Dive,Least Concern,100-137,137, 200, 200,2000-5000,3500.0,2-4,2,4, 1 , 1 ,6.7-8.6,8.6,3.3-3.5,3.5,29-35,35,29,77-84,77,84, PELECANIFORMES, PELECANIDAE
Wood Stork,Marsh,Fish,Tree,Probing,Least Concern,85-115,115, 150-175,175,2050-2640,2345.0,,,,,,,,,,,,,,,, CICONIIFORMES, CICONIIDAE
Horned Lark,Grassland,Seeds,Ground,Ground Forager,Least Concern,16-20,20, 30-34,34,28-48,38.0,2-5,2,5, 1-3 ,3 ,1.8-2.6,2.6,1.3-1.9,1.9,11-12,12,11,8-10,8,10, PASSERIFORMES, ALAUDIDAE
